invoice_id,vendor_name,amount,currency,invoice_date,payment_status
INV001,Amazon Web Services,12000,USD,2026-06-01,Paid
INV002,Oracle Corporation,25000,USD,2026-06-02,Paid
INV003,Microsoft Corp,8500,USD,2026-06-03,Paid
INV004,IBM,15000,USD,2026-06-04,Paid
INV005,Salesforce Inc,6000,USD,2026-06-05,Pending
INV006,Google Cloud,18000,USD,2026-06-06,Paid
INV007,Adobe Systems,4500,USD,2026-06-07,Paid
INV008,Zoom Video Communications,3000,USD,2026-06-08,Paid
INV009,Slack Technologies,2500,USD,2026-06-09,Pending
INV010,DataDog Inc,5600,USD,2026-06-10,Paid
INV011,Atlassian Corp,7200,USD,2026-06-11,Paid
INV012,JetBrains,3500,USD,2026-06-12,Paid
INV013,GitHub,1200,USD,2026-06-13,Paid
INV014,Figma Inc,2800,USD,2026-06-14,Pending
INV015,Stripe,4200,USD,2026-06-15,Paid
INV016,Twilio Inc,3800,USD,2026-06-16,Paid
INV017,Elastic,5100,USD,2026-06-17,Paid
INV018,Kubernetes,2000,USD,2026-06-18,Paid
INV019,MongoDB,6500,USD,2026-06-19,Pending
INV020,Redis Labs,3200,USD,2026-06-20,Paid
INV021,Hashicorp,4100,USD,2026-06-21,Paid
INV022,Terraform,1500,USD,2026-06-22,Paid
INV023,Ansible,1800,USD,2026-06-23,Paid
INV024,Docker Inc,2200,USD,2026-06-24,Pending
INV025,NVIDIA Corporation,35000,USD,2026-06-25,Paid
INV026,Intel Corporation,28000,USD,2026-06-26,Paid
INV027,AMD,22000,USD,2026-06-27,Paid
INV028,Qualcomm,18500,USD,2026-06-28,Paid
INV029,Broadcom,19000,USD,2026-06-29,Pending
INV030,Marvell Technology,12000,USD,2026-06-30,Paid
INV031,SanDisk,8700,USD,2026-07-01,Paid
INV032,Western Digital,7600,USD,2026-07-02,Paid
INV033,Seagate Technology,6800,USD,2026-07-03,Paid
INV034,Micron Technology,9200,USD,2026-07-04,Pending
INV035,SK Hynix,11000,USD,2026-07-05,Paid
INV036,Samsung,32000,USD,2026-07-06,Paid
INV037,Sony Corporation,15500,USD,2026-07-07,Paid
INV038,LG Electronics,13200,USD,2026-07-08,Paid
INV039,Apple Inc,45000,USD,2026-07-09,Pending
INV040,Lenovo Group,11000,USD,2026-07-10,Paid
INV041,HP Inc,9800,USD,2026-07-11,Paid
INV042,Dell Technologies,28000,USD,2026-07-12,Paid
INV043,Cisco Systems,16500,USD,2026-07-13,Paid
INV044,Juniper Networks,12300,USD,2026-07-14,Pending
INV045,Arista Networks,8900,USD,2026-07-15,Paid
INV046,Palo Alto Networks,19000,USD,2026-07-16,Paid
INV047,Fortinet,7200,USD,2026-07-17,Paid
INV048,CrowdStrike,11500,USD,2026-07-18,Paid
INV049,Rapid7,5800,USD,2026-07-19,Pending
INV050,Tenable Holdings,6400,USD,2026-07-20,Paid
